001325-0001	Highly recommended
201972-0001	Great help even near closing time!
201972-0002	I came in to town for a week and forgot my trainers!
201972-0003	Oh no!!
201972-0004	I came in 30 min before close and the staff was super helpful.
201972-0005	They spent a lot of time with me and got me into a great pair of shoes.
201972-0006	I think they may even be better than the pair I have been using this past year!
201972-0007	Thanks Run on!
202402-0001	SERVERS
202402-0002	When my server crashed, Greg worked from 7 PM until 4 AM and had my company up and running the next morning.
202402-0003	That's what I call customer service!
202709-0001	Elmira, your the best!
202709-0002	All I can say is that Elmira you are the best Ive experienced, never before has the seamstress done a perfect job until i met you.
202709-0003	I recommend you to everyone in Calgary, as she is a professional and the cost for her was low.
203196-0001	VINGAS
203196-0002	VISAKHA INDUSTRIAL GASES PVT. LTD., location at google maps.
205014-0001	A Great Help!
205014-0002	Ashdown Horse Transport were fantastic!
205014-0003	Very friendly and ALWAY contactable even at weekends.
205014-0004	I would hesitate to recommend anyone.
205014-0005	Thanks again Nina.
205014-0006	PS. Love the new website!
206303-0001	Natasha
206303-0002	A real pleasure training with Natasha.
206303-0003	Always professional and reliable, sessions are good fun and suitably challenging.
206303-0004	She really listens to what it is you would like to achieve, and I am very happy with my results.
206303-0005	I would highly recommend her services.
207348-0001	Feels like you are in Brooklyn, but people watching is entertaining.
207629-0001	highly recommended.
207629-0002	I have been going to Warner Family for a number of years and would highly recommend it to anyone.
207629-0003	I've read some of the reviews below and would like to state that yes, like any other doctors office there is sometimes a wait (depending on what other patients are being seen for) and some of the tests and procedures that are ran can be costly (just like they would be for any other medical tests elsewhere if you do not have insurance)...
207629-0004	I have seen several of the providers from the office and have not once been shown anything but care and consideration.
207629-0005	I cant speak for them but any tests or appointments they recommend are probably in the best interests of us (the patient) and you have the ability to decline anything that they suggest to you.
207629-0006	I personally have had wonderful service and if youre truely looking for a FAMILY practice...Warner Family is the place for you.
207783-0001	Not a clothing store
207783-0002	Be more careful when you write reviews- this is an accounting group, not Hollister the clothing store.
208180-0001	Good quality Indian food in a pleasant environment
208310-0001	Whatever you order, you will LOVE!
209465-0001	Pho-nomenal!!
209465-0002	I have been eating Pho for almost my entire life and I've always gone to the Pho places in south philly and off the boulevard and even the other one in chinatown, but when i tried this pho place, it blew the other pho houses away!!
209465-0003	all of the pho places taste the same to me, so what seperates one from the other is the service and the price.
209465-0004	The service here is incredible compared to the other places.
209465-0005	the only down fall of this pho house is the difficulty in finding parking in chinatown.
209465-0006	remember to bring cash since they don't take debit or credit.
209465-0007	hope this helps!!
210019-0001	We have stayed at Tanglewood for many years now.
210019-0002	We go over about 5 times a year.
210019-0003	We have never had a problem with the cabins.
210019-0004	They are always so helpful.
210019-0005	The cabins have always been clean.
210019-0006	Helen is a wonderful place to take you family.
210019-0007	We recommend these cabins!
210066-0001	Bait and switch, untrained workers
210066-0002	Called the Bonanza store 2 weeks ago, before I ripped out 350sqft of ceramic tile... was told I would need a "dual head concrete grinder" to remove thinset and make a nice "finished" look (ready for concrete stain).
210066-0003	Was quoted $55 all inclusive of grinder inserts, etc.
210066-0004	No problem, sounded like it's done every day.
210066-0005	Will look beautiful.
210066-0006	Got the tile ripped out, call today, now all the sudden this grinder won't leave a finished look AND it's $125 PLUS around $75 for the inserts.
210066-0007	I can rent another machine for like $60 that will give it a finished look.
210066-0008	So from $55 to $260?
210066-0009	Are they serious?
210066-0010	I feel like they didn't tell me the pitfalls before I pulled out this tile and now that I have no other options they want 5 TIMES the price?
210066-0011	Either these people don't know anything about what they are renting, or worse- they are bait and switching.
210153-0001	Poor Taste
210153-0002	There is no lower rating for Noonan's Liquor, owners and employees.
210153-0003	A negative number is not available.
210153-0004	CLH
210875-0001	Bulwark regarding service by Eric
210875-0002	Just wanted you to know that Eric came by as scheduled today and sprayed our house for scorpions.
210875-0003	He seemed to understand how important it was for us to make sure the whole house was sprayed so he took his time.
210875-0004	Thank you!
211709-0001	Best ceviche that I'd had so far! :)
211797-0001	MUST READ - Do not waste your time in this store.
211797-0002	At my appointment the girl helping me was unable to adequately lace up some of the dresses.
211797-0003	They felt like they were going to fall off of me and it was very difficult to see what I would actually look like were I to purchase some of these dresses.
211797-0004	I thought it would be a good idea to see how a few that I liked would look like on a model (by looking the dress up online).
211797-0005	So, as I was leaving I asked for the designer/dress name or style number associated with my top picks.
211797-0006	They said they were "unable to tell me until they ordered my dress".
211797-0007	Hmmm... A person cannot call a company, if you have no idea its name (since the designer is unknown... SUPPOSEDLY), and order a gown without a dress name or style number.
211797-0008	Do other brides fall for this???
211797-0009	They either: a) don't want to give it to me because they don't want me purchasing the dress elsewhere or b) are recreating the dresses themselves (ie STEALING other designers' dress designs and "filling the orders" by their own seamstresses).
211797-0010	I'm no detective but... uhh... seriously?!?
211797-0011	Whatever type of operation they are running, I'm not interested and if you're smart, you won't be either.
211797-0012	What a waste of TIME.
211797-0013	Aside from that little *mystery*, one of the sales ladies was quite comfortable telling me how wrong I was about how another dress that I loved compared to one of her dresses that I was trying on.
211797-0014	Somehow, since she supposedly doesn't know any names of designers/dresses, after I told her the designer and dress name of the one I was comparing, she knew "exactly which dress" I was referring to and disagreed with my observation; she said that the bodice did come as low as the one I had on.
211797-0015	My point: Even if I was wrong, don't sit there and argue with the customer.
211797-0016	Say something like, "Huh.
211797-0017	I didn't think so but you could be right."
211797-0018	Unless you want to take the "tell the customer how wrong she is and try and force her into a dress she's obviously not loving" approach which will likely get you... uh... nowhere.
211797-0019	Seriously: do not waste your time.
211797-0020	Other shops around this city have MUCH NICER and more TRANSPARENT owners.
211797-0021	Not owners that seem like they have something to hide and know nothing about common courtesy and customer service.
211797-0022	I felt very much like Wedding Gallery was being dishonest and I wouldn't trust them to lace me up in another gown let alone trust them with the gown I will wear on the most important day of my life.
211844-0001	Favorite DD spot in the area!
211933-0001	Deep tissue massage helps with pain in neck and shoulders
211933-0002	Seth provides deep tissue massage which has significantly reduced the pain in my neck and shoulders and added flexibility and movement back to the area.
211933-0003	He listens and is excellent in diagnosing, addressing and explaining the specific issues and suggesting exercises to use.
212369-0001	Place is legit.
212369-0002	We got upgraded to a corner suite!
212369-0003	Room was amazing.
214912-0001	I have used Bright Futures for the last 7 years.
214912-0002	I have 3 children there and they are the Best.
214912-0003	They are like family.
214912-0004	Your children will be taken care of and loved by a professional staff.
215460-0001	Beware of Sharayu
215460-0002	Hopless service, at the time of booking my car a lot was promised but delivered not even one tenth of what was promised.
215460-0003	Apart from that in spite of my repeated attempts I could not get in touch with the manager to even lodge an official complaint.
215460-0004	My advise to all is I have fallen into this trap ... pl ensure you dont!!!
216281-0001	On time, Clean and very nice
216281-0002	I called over the weekend due to clogged kitchen sink.
216281-0003	Scheduled appointment for 8:30 Monday morning.
216281-0004	Rich was here before the scheduled time.
216281-0005	He was very clean, very nice to work with and gave a very reasonable price.
216281-0006	HIGHLY recommend.
216281-0007	thanks Rich
216281-0008	Seth K.
216456-0001	My friend and I were to stay here for a girls night, catch up on our lives evening.
216456-0002	We live within 20 miles of the hotel and wanted to get away from our responsibilities for the night.
216456-0003	Unfortunalty my husband and I had to put our 13 year old lab down that morning and we were not expecting this.
216456-0004	My friend called the hotel to cancel our room as soon as I called her.
216456-0005	They said that we were to be charged for this room regardless because we did not cancel within the 72 hours.
216456-0006	I called them back a few hours after putting my Bodhi down and they still wouldn't budge.
216456-0007	Times are hard, I know, but they had no compassion.
216456-0008	I called 3 times to talked to a manager, never a call back.
216456-0009	I emailed 4 times, never a response.
216456-0010	In one of the emails I attached the letter from the Vet's that expressed their sympathy, this hotel did nothing.
216456-0011	I even emailed Mackinaw Tourist and nothing.
216456-0012	I am sure this is a good place to stay from reading the other reviews, but if something unexpected happens in your life, they will not care.
217359-0001	This insurance co. Is a joke !!!
217359-0002	They have absolutely no communication skills whatsoever .
217359-0003	if you don't mind being robbed ,cheated or lied to then this is the company for you .
217359-0004	They will make every attempt to misinform and misrepresent themselves .
217359-0005	They make up excuses in hopes to confuse their policy holders with misinformation .
217359-0006	as an example they took payment for 5 out of 6 monthly plan premiums for a yearly policy and cancelled the contract for the remainder of the policy for reasons they stated was not receiving information on other licensed drivers in the household ?
217359-0007	I personally provided the request on four separate occasions and they claim there is a glitch in their systems ?
217359-0008	Ifa is an acronym for Im a F%#king Assh@%$e !!!
217485-0001	I'll admit I wasn't expecting much from this place, but they really did do a good job.
217485-0002	The chicken cordon-blu was tasty and came in a huge portion size for the money.
217485-0003	Service was a touch slow, but friendly.
217542-0001	OMFG
217542-0002	I FUCKING HATE THIS PLACE EVERY TIME i GO THIS HOT CHICK SHOWS UP AND i MEAN REALLY HOT BUT SHE IS LIKE REAAAALLY DUMB AND THEN THEIR IS THIS OTHER CHICK THAT IS REALY UGLY BUT SHE IS LIKE SUPER SMART SHE COULD BE A SCIENTIST, BUT THEN THEIR IS THIS STONER WHO ALWAYS COMES HERE HIGH AND HE ALWAYS BRINGS HIS FUCKING DOG WHO IS SO HIGH FROM THE SECOND HAND SMOKE I THINK HE IS TRYING TO TALK.
217542-0003	ANYWAY WE DRIVE AROUND IN MY VAN AND SOLVE MYSTERYS AND SHIT
217747-0001	exelent Job
217747-0002	"Thank you so much for the superior job well done.
217747-0003	We love everything about the fence.
217747-0004	You company and services will be recommended by us to everyone."
219262-0001	Furnace repair
219262-0002	Tiger Heating is awesome.
219262-0003	I had John and Dustin working feverishly to get my exhaust motor replaced.
219262-0004	These guys were absolutely professional.
219262-0005	John was here in 45 minutes after I called on a 10 below zero early Sunday morning.
219262-0006	If you need someone to help you out with your heating problems, I DEFINITELY would call TIGER HEATING and AIR.
219262-0007	Absolutely a wonderful company.
219262-0008	My family and I thank you!!!!!!!!!!
219984-0001	never response the phone call
220214-0001	I think that there pretty good.
220214-0002	First of all, if you call for an appointment they won't tell you to call back a month later so you can then make one.
220214-0003	They also don't tell you that they're going to mail you an "application" to be admitted to be a patient.
220214-0004	I feel that the way some doctors offices work around here is a little bit absurd so I'm happy that these guys don't do those two things in particlular.
220214-0005	Usually you can be seen the same week or maybe the following week.
220214-0006	The doctor did tell me that my male pattern baldness is due to my mothers father because the gene is exclusively passed on through maternal line but that's a common misconception (http://www.consumerreports.org/health/healthy-living/beauty-personal-care/hair-loss-10-08/hair-loss.htm).
220214-0007	In general I would say that the staff is attentive and nice.
220214-0008	But then again I was nice to them so that could have been why.
220214-0009	Anyhow, after reading some of the other reviews it seems like some of the other reviewers are expecting mircles.
220214-0010	If you want miracles you'll have to go to 21st St.
220214-0011	It's a pretty typical primary care office but for the area it's very good.
220214-0012	They don't do certain things that are really annoying about other offices.
221664-0001	This place is a Rip-Off
221664-0002	I brought a car in to have the "check engine" light diagnosed back in March of 2010.
221664-0003	They said it was "plugs and wires" and quoted me $330 to do the work, including parts.
221664-0004	I asked why so high and they said it was due to the labor of moving things out of the way.
221664-0005	Those things ended up being a windsheild washer fluid tank (1 screw) and the air filter canister (4 spring clips).
221664-0006	I did the work myself for $50.
221664-0007	There's no excuse for that kind of estimate.
223040-0001	I love this place lots of people to talk to and school is across the street!
223912-0001	The staff do occasionally get game info correct, but if your looking fot a good game and aren'ta nerd, dont ask them.
223912-0002	The last time I did that I was suggested to buy oblivion when I told them I was looking for a fps.
223912-0003	I knew what it was and told the guy that it wasn'ta fps.
223912-0004	He tried to tell me it was when I told asked him if he knew what fps stood for and he had no clue.
223912-0005	Overall they aren't very knowledge about the type of games are on the market.
224117-0001	Drove all the way over from the highway... closed at 7.
224117-0002	Who does that?!
224123-0001	ok
224123-0002	can't remember good or bad, so it must have been meh.
224906-0001	First and Last time we'll eat there
224906-0002	My friend and I went there for lunch today.
224906-0003	Neither one of us had ever been - so we thought we'd try it.
224906-0004	BIG MISTAKE - The food was tasteless and cold.
224906-0005	We both kept trying to find something we liked.
224906-0006	The only thing I found edible were the potato wedges, I finally gave up, he kept trying - he found the fried wantons to be OK - His Mongolian bowl was awful.
224906-0007	Would NOT recommend this place to anyone - in fact - save your money and go somewhere else.
225632-0001	FHS is a good high school -- c/o 1998
225632-0002	I enjoyed my time at Franklin High School.
225632-0003	We had relatively good facilities at the time -- decent science labs, with multiple hoods and access to good equipment; nice gymnasiums, and a well-funded music department (I was in the guitar ensemble).
225632-0004	Now, of course, there's a new building, with presumably better facilities.
225632-0005	All to the good.
225632-0006	For those who care, a good proportion of the my class went on to 4-year colleges, many of them ranked in the top 50 of US News.
225632-0007	If I remember, students went to Dartmouth, U.Penn, Duke, BU, William and Mary, Vassar, Howard, and Carnegie Mellon, among others.
225632-0008	Many students went to Rutgers, including their top-ranked pharmacy program.
225632-0009	The point is -- FHS gives you the opportunity to make it to a good college, but you need to work hard.
225861-0001	My favorite place...
225861-0002	My daughter and I stayed here again from the 7th to the 14th of December.
225861-0003	yet again it was a great stay from begiinning to end.
225861-0004	Okay our room was at times noisy but we were in a mega busy city at an extremely busy time of year.
226715-0001	Inford Media
226715-0002	Media, Software, Fun and Games, Website design, Web Promotion, B2B, Business Promotion, Search Engine Optimization.
227515-0001	BEST DENTIST EVER -
227515-0002	Very fast and efficient service.
227515-0003	I have had several dentists in my life, but Dr. Deters is by far my favorite.
227515-0004	I never wait in the waiting room more than two minutes and the cleanings are quick and painless.
227605-0001	Good local steakhouse, I recommend it!
228154-0001	Good food and coffee with a nice atmosphere
228731-0001	prepared the road test with a driving ... prepared the road test with a driving school in edmonton, but my instructor only trained me in a narrow street, hence I took one 90 minute lesson from the Noble driving school to learn the skill of changing lane, and found them very friendly and professional.
228944-0001	Best in Memphis
228944-0002	This shop is by far the best I have been to.
228944-0003	I have a Saab...which everything is expensive on and they have been extrememly fair and price alot lower than any other shop I called.
228944-0004	They are the only place I would take my car peiod.
229100-0001	Great Place!
229100-0002	Love this place!!
229100-0003	Has another store in the st. charles mall.
229100-0004	Place is next to carval and walmart.
229100-0005	Dont go to the one by pepco, I got confused!!!
229100-0006	Bad place.
229100-0007	Go to ATLANTIC WIRELESS!!
229100-0008	I love them!!!
229142-0001	I used Birdies for our Annual Walk Against Drugs and Alcohol event.
229142-0002	They were very professional, neat and clean.
229142-0003	They came through on all of their promises and we had a very successful day.
229142-0004	I will be using Bridies again.
229410-0001	The Worst Experience Ever!!!
229410-0002	I have worked with Ted Jurek at Decor and You, and it started out as a decent experience.
229410-0003	He was referred to me by a friend, who didn't have the best experience with Ted, but said that Ted was able to make up for his lack of preparedness at the end.
229410-0004	I figure I would give this company a chance.
229410-0005	However, after giving a required $500.00 (NON REFUNDABLE) deposit before seeing any plans or ideas, I was sorry I did.
229410-0006	We met a couple of weeks later, Ted was late.
229410-0007	He brought fabric books, and pictures of furniture only, which all came way over budget.
229410-0008	By the time we got to the budget i told him I could work with, there was basically no design.
229410-0009	Just curtains and a couple of accessories.
229410-0010	WHAT IS THAT?????
229410-0011	This company is way too expensive with nothing to show for it.
229410-0012	Please everyone....take heed and don't get caught up in the hype about DECOR and YOU working with every budget...
229410-0013	This is just a way for them to squirm their way into your precious pocket
229442-0001	nice friendly local bagel place
229442-0002	there might be bigger and more well known bagel places in the area but Family Bagels are nice people, small shop and incredibly friendly.
229442-0003	While other may be ok waiting in line at Town Bagel we are happy with the quality and service we get at Family Bagels
229480-0001	you'll love it
229480-0002	I have had my back fused in 2 places.
229480-0003	I wish that I hadn't done this.
229480-0004	With these fusions, chiropractric isn't as successful, but it still is very helpful.
229480-0005	Even after my fusions, my back continued to hurt, but now it doesn't hurt any more.
229480-0006	I would encourage anyone who is thinking of back surgery, to talk about different treatment options first with Dr. de Barros.
229480-0007	He really knows what he is talking about and will approach the different options fairly.
229480-0008	You can see different treatments that a surgeon can't see, so that you can have several treatment options before you decide what to do.
229623-0001	A friend and I recently took our 16 and 18 month olds here.
229623-0002	While there wasn't too much available for their age (ball pit, bouncy area and a little padded pyramid to climb on), we went right when they opened at 10 am on a winter weekday and ended up being the only ones there, so we were given a little more liberty than we would have if others had been there.
229623-0003	It's not the classiest place, but it was cleaner than I expected and the staff was very friendly.
229623-0004	For $4 it was a nice break from the monotony of winter indoors with a toddler.
230176-0001	Excellent Physiotherapists!
230176-0002	Kusal Goonewardena and his team of Physios are unbelievable!
230176-0003	I have been suffering from back pain for over 12 years and have been to numerous specialists, physios, osteos and chiros with no help.
230176-0004	It took the Vigor team only 4 visits to get me feeling normal!
230176-0005	And now 2 months after my last appointment I am better than ever.
230176-0006	Thanks guys!
231203-0001	Okay, here's the scoop.
231203-0002	I'ma regular at the HH.
231203-0003	The food is excellent, the serivce is horrible.
231203-0004	I think they're still in the mindset from when it was only smokers sitting around and drinking... not in any hurry.
231203-0005	In my experience the food has been excellent (for the most part).
231203-0006	However, the bartenders/waitresses definately need to be re-trained (if they ever had any to begin with) and learn two things: only chat with customers when other customers are not impatiently waiting and to look around more often to see if people are waiting.
231203-0007	In some cases the result is because of understaffing, in some cases the staff just doesn't care/know better.
231203-0008	They must also get something to keep take-out warm, so it's not room temperature at best when you get it home.
231203-0009	You just have to know what you're getting into when you go.
231203-0010	Nice local pub, excellent food (especially wings), and don't go if you have a limited amount of time.
231724-0001	Rooms were outdated, dirty, and small.
231724-0002	Service was horrible.
231724-0003	Go down 1 block to Super 8.
232106-0001	Clean & tidy with good atmosphere & pleasant staff.
232106-0002	Food drastically let's the place down though
232157-0001	Wonderful service for large group
232157-0002	I had my wedding luncheon at this BJs restaurant, and it was one of the best choices that I made.
232157-0003	It was a great deal--we paid a certain amount per person, and my husband and I chose 4 types of pizza and the servers brought out as much as we wanted.
232157-0004	We were also served salad and soda.
232157-0005	We had a large party, about fifty people or so, and yet everything was served quickly and we all had a wonderful time.
232157-0006	Even though we were only supposed to have those specific types of pizza, when guests asked for a different type, it was brought out with no charge to us!
232157-0007	I really appreciate BJs for making that special day even better with their wonderful food and service.
232278-0001	You are the only one auto glass repair shop in the area I would count on.
234261-0001	Dr. Mann killed our pet
234261-0002	Yea, Dr. Mann ain't so great.
234261-0003	We took our beloved kitty to him and it came back dead.
234261-0004	We live in the sub-division around the corner and after it happened and we brought it up at some neighborhood gatherings we discovered that several people from this neighborhood alone had pets goto Dr. Mann for surgical procedures and came back dead.
234261-0005	If you take him here for shots, no big deal but I would never let this man apply anesthetic to my pet ever again.
234261-0006	Oh, they also charged me for the procedure ($250) AND had the audacity to charge me a $25 'DISPOSAL' fee.
234261-0007	They actually itemized it as a DISPOSAL fee.
234261-0008	AVOID AT ALL COSTS.
235190-0001	Channel Guide
235190-0002	Believe it or not, but the channel guide has been most helpful to my family members that visit and don't know where to start when it comes to watching satellite tv.
235190-0003	I just give them guide and they can find anything they need.
235190-0004	Thanks again, Directv.
235211-0001	Lovely People, Great Hats
235211-0002	I was saddened to see the reviews that claimed World Hats Mart has poor service.
235211-0003	It led me to believe that the reviewers simply had difficulty tolerating people with strongly-accented English.
235211-0004	The husband and wife who run this spot are lovely people.
235211-0005	We have had many conversations with them and they have always been extremely patient with me as I tried on multiple hats in search of the right costumes for my magic act.
235211-0006	I recommend them highly!
235423-0001	The Worst Chinese I've Ever Had
235423-0002	This is by far the worst chinese food I have ever had.
235423-0003	The service stunk.
235423-0004	I called in my order and upon arriving to pick it up, they got my order confused with someone elses.
235423-0005	They helped about three other people before they offered to help me again.
235423-0006	They also got my friends order mixed up and wanted to charger her $10 more than what she had wanted.
235423-0007	She asked for the dinner combo and they gave her two dinner plates instead.
235423-0008	We were standing in the store for 20minutes to simply pick up an order.
235423-0009	Not to mention that the wait staff was about as pleasant as dealing with an angry bull.
235423-0010	They were abrasive and rude - when they were the ones who messed everything up.
235423-0011	We had to throw out about 80 percent of our meals because the food tasted so horrible.
235423-0012	I dont know how it is possible to make orange chicken, sesame chicken and kung pao chicken as well as cheese puffs taste THAT bad but China Delight accomplished that.
235423-0013	The only thing that was edible was the steamed rice and the vegetable lo mein was barely tolerable.
235423-0014	I will NEVER go here again.
235423-0015	Lucky Panda in Willis is a billion times better in service and quality of the meal.
235423-0016	I have no idea how China Delight won number 1 Chinese restaurant in Montgomery - There needs to be a recount on that vote.
235462-0001	Hobbs on Mass.
235462-0002	Absolutely my favorite store in Lawrence, KS
235576-0001	The Best Breakfast in Solana Beach!
235576-0002	We love T's Cafe!
235576-0003	Without a doubt the best place to grab a tall bloody mary and some eggs benedict.
235576-0004	T's has been a North County landmark for thirty years and with good reason.
235576-0005	Family owned and operated makes sure the atmosphere is relaxed and the food home-cooked with style.
235576-0006	I highly recommend picking up a jug of their homemade bloody mary mix - definitely the best.
235576-0007	If you've been to North County, chances are it's in your favorites list already.
236648-0001	Quick and Cheap
236648-0002	Walked in and was outta there in 10 mins with a really good deal i thought i was going to be paying alot because i had a DUI but with my DUI and Sr-22 they were able to get me the best deal out there.
238839-0001	This place is bad.
238839-0002	It's dark, dingy & dirty.
238839-0003	The salads are limp and the rest of the food isn't any better (ok, the nachos are not too bad!)
238839-0004	This place may have been something sometime; but it way past it "sell by date".
238839-0005	I have eaten here twice in the past year and will not go back and cannot recommend it.
239035-0001	Le petit is the best place to get your nails done!
239035-0002	It is very clean, staff is friendly, and I have never waited!
239035-0003	I go every other week for the shallac/gel manicure which is only $25 and it truly lasts 2 weeks!
239035-0004	I love it.
239035-0005	Pedicures are also great.
239035-0006	Try this place out!
239035-0007	I promise you will not be disappointed!
240287-0001	Excellent Service and Reasonable Prices
240287-0002	Boutique stores dealing in children's clothing/gifts are often outrageously priced (who wants to pay 40 dollars for a newborn onesie?)
240287-0003	but I was pleasantly surprised to find that the Purple Goose's prices are reasonable (for the SAME products found at other area boutiques, the prices were 20-25% cheaper).
240287-0004	The service was also excellent - friendly, helpful and informative without being overbearing.
240287-0005	Will definitely return.
241108-0001	STAY AWAY
241108-0002	Horrible service.
241108-0003	Absolutely rude.
241108-0004	Did services I asked them NOTto do and was still charged.
241739-0001	Great Barber
241739-0002	Firstly, the other reviewer clearly has never been to Nick's, or he would know that Nick only charges $13 for a haircut which is pretty much industry standard.
241739-0003	I have been going to Nick for 5 months now precisely because he does pay attention to detail.
241739-0004	I have terrible hair and he really takes his time to make it look right.
241739-0005	Some of the younger kids that work there are a bit sub par, but if you wait for Nick... you'll be good.
241855-0001	Home made product
241855-0002	I sometimes go into this store just for something to do on a sunday afternoon.
241855-0003	I love the people, the product and the service!
241855-0004	Nothing compares to a home made product that really stands the test of time. -
241855-0005	The Brick, Ikea, and Leon's have their place.
241855-0006	But furniture like this will truly be around forever.
242303-0001	Awesome bacon egg and cheese sandwich for breakfast.
243369-0001	You are the best!
243369-0002	Just received from your flower store.
243369-0003	They are sooooo beautiful.
243369-0004	Thank you guys.
243799-0001	Rude Rude Rude
243799-0002	went in there and got my dog groomed came home to an uneven dog then took him back to get evened up what a mistake!
243799-0003	she didnt even let me finish a sentence without insulting me and telling me how i should have said it!
243799-0004	i wont go back!
243799-0005	she needs to develop a personality !
243799-0006	brought dog home and its all choppy now!
245160-0001	very professional / very helpful
245160-0002	the people at Fidelity Leasing were very friendly and helpful.
245160-0003	i was looking for a car but did not really know what i wanted and they were very helpful and took the time to first figure out what my needs were and showing me various options to meet those needs.
245160-0004	they seemed more interested in helping me find the right car rather then just make a sale.
245160-0005	my experience with them was great - low stress, very helpful and very personal.
245160-0006	after finding the car i wanted they took the time to go over each step and making it as painless as possible.
245160-0007	from start to finish they were top notch.
245160-0008	i would highly recommend calling these people up for your next car.
245928-0001	Rude and Untrustworthy
245928-0002	These guys took Customer Service 101 from a Neanderthal.
245928-0003	They are especially rude to women.
245928-0004	Do not trust them!
247097-0001	Food Craving Gone and Weight Loss at Acupuncture Doctor
247097-0002	I am a college student.
247097-0003	Before treatment, my food cravings were "out of control" which caused me to be stressed out.
247097-0004	I experienced a Definite Decrease in food craving (about 50%) and decrease in stress after the 1st treatment.
247097-0005	I actually loss 4 pounds after my 1st treatment and 2 pounds after my 2nd treatment.
247097-0006	I was amazed.
247097-0007	I am now more at peace and my food craving is about 99% gone after only 3 treatments.
247097-0008	Before coming to Acupuncture DOCTOR I was a big baby about needles and only came because my boyfriend's aunt recommended it.
247097-0009	It hurt very little, felt more like pressure than pain.
247097-0010	What I like most about Dr. Liau is that she is very caring.
247097-0011	She talks to you at each appointment.
247097-0012	I can tell she really cares and wants to help.
247097-0013	I am SO GLAD to have found Dr. Liau.
247097-0014	Now I feel more confident wearing my bathing suit in the summer.
247226-0001	College is a Joke and the Salon is a JOKE!
247226-0002	Went to the school here OVER PRICED!!!!!!
247226-0003	You do NOT learn the things you were promised.
247226-0004	You have to bring in your own models and they have to pay for you to use them if you dont then you can graduate!
247226-0005	Going back after graduating your told you get a discount on services nope you dont.
247226-0006	Staff is under educated.
247226-0007	Going there you learn the school does not care about the services given just about the money.
247226-0008	Over priced for students to learn!
247226-0009	Beware of the nail program you are not taught to use a nail drill AT ALL you learn the old fashioned way of doing nails you will not be able to do well in a salon!!!
247226-0010	BEWARE!
248027-0001	Tried Crust on Broad on 3 occasions.
248027-0002	Twice for dinner and once for lunch Absolutely rude service every time!
248027-0003	The staff will not even answer the phone for take out.
248027-0004	Tonight, I called several times with no answer (Btwn 5:30 and 6 pm) and finally drove there to place my order in person.
248027-0005	There was not a customer to be found.
248124-0001	Pure Pilates!!
248124-0002	It is the real thing - I have been practicing Pilates for over 7 years and would not go anywhere else.
248124-0003	It is the attention to detail and the quality of the work taught at TomiPilates that sets this studio apart from the others.
248124-0004	The teachers are highly trained and are expert at handling all types of clients.
248616-0001	Took a laptop in for a video cable to be replaced.
248616-0002	Everything except the display worked fine before I took it in.
248616-0003	The video cable was replaced and suddenly the motherboard was dead.
248616-0004	Phone calls weren't returned when promised and the botched repair took a week longer than promised.
249123-0001	No Customer Service
249123-0002	Employees seemed to be having a good time chatting and laughing with each other, while myself and other customers were completely ignored.
249123-0003	Another person in the store stood there with an item and repeatedly tried to get a sales persons attention.
249123-0004	It wasn't until he gave up and walked out the door that someone asked Can I help you.
249889-0001	great garage and customer service.
249889-0002	great knowledge and prices compared to anyone in the industry.
250878-0001	This is my favorite coffee store.
250878-0002	Just ask American Express
251475-0001	Great People and even better service!
251475-0002	Best to deal with!
251475-0003	In a few words ... I'm pleasantly surprised that you can still find "old school" service out there where company care more about good name and customers than their pockets...
251475-0004	Highly recommended people / business.
251475-0005	Thanks Josh!
251755-0001	Absolutely amazing job!
251755-0002	Susanna is the best dress maker/tailor I've ever come across in my whole life!
251755-0003	She makes every item fit you perfectly.
251755-0004	She is always so busy, too, which is a good indication of her talent.
251755-0005	She's the best!
251774-0001	Thank you for helping me get more healthy!
251774-0002	I came in and saw Dr. Ruona about a month ago for quitting smoking.
251774-0003	I have to tell you that I haven't had one and don't want one.
251774-0004	It is the easiest thing that I have ever done and I tell all my friends that they should do it too.
251774-0005	I sent a customer of mine to you.
251774-0006	Dr. Ruona, if you read this, thank you for helping me get more healthy.
251774-0007	I feel lighter and feel that I have more possibilities open to me now than I did before.
251774-0008	I can't thank you enough.
252791-0001	no feathers in stock!!!!
252791-0002	I was very upset when I went to Mother Plucker, they had NO FEATHERS and the quality is TERRIBLE.
252791-0003	I had to dig in a bag to find one nice feather, what a joke!
253807-0001	Cheapest drinks in Keene!
254908-0001	I hired this company to unlock my car.
254908-0002	The price they gave was good so I said hey this seems great.
254908-0003	After they showed up there was a little trouble to get my car unlocked, it took quite a bit of time but the job was well done.
255261-0001	Rate a church?
255261-0002	Might as well just hotpot the curb and rate the traffic light.
255261-0003	It's a bloody church, for chrisssake!
255261-0004	Big, grey and imposing.
255261-0005	Go there on christian holidays for a bit of churchy grandure.
255261-0006	The pastor at this church is cool, I met him after some holiday service.
255261-0007	He had a robe that was made back in the '60s.
255261-0008	God was pleased with that one!
255261-0009	It's historical for Sf, so when your aunte comes for a visit, take her there.
255261-0010	Great for the kiddies - they love the labyrinth (don't forget to tell 'em its really a 'pagen' thing!).
255261-0011	Stop by at least once or you'll go to heck!
